App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver
AP Mobile 104	BUSINESS		0	14M	100+	Free	0	Everyone	Business	December 13, 2017	1.2.2.0	4.0 and up
AP Planner	FAMILY	2.9	45	1.3M	5,000+	Free	0	Everyone	Education	August 3, 2015	1.1	2.1 and up
Access Point Browser	TOOLS	4.2	25	2.5M	1,000+	Free	0	Everyone	Tools	September 22, 2017	3.11	4.3 and up
AP Installer	TOOLS	4.5	23	283k	5,000+	Free	0	Everyone	Tools	July 20, 2018	13	3.2 and up
Access Point Proximity	TOOLS		5	2.3M	1,000+	Free	0	Everyone	Tools	June 28, 2018	2.1.1	5.0 and up
Study AP World History	FAMILY	4.6	513	1.6M	10,000+	Free	0	Everyone	Education	July 18, 2016	1.1.2	4.0.3 and up
UniFi	TOOLS	4.7	11018	25M	500,000+	Free	0	Everyone	Tools	July 25, 2018	1.7.0	4.1 and up
Ap Video Downloader for fb New 2018	TOOLS	4.2	676	5.4M	100,000+	Free	0	Everyone	Tools	July 31, 2018	3.0.188	4.0.3 and up
AP Government Review	FAMILY	4.7	3	1.5M	1,000+	Paid	$2.99	Everyone	Education	March 14, 2017	1.1	4.0.3 and up
ap,wifi testing,iperf,ping,android,Bluetooth,tcp	TOOLS	4.7	3	5.3M	10+	Paid	$2.99	Everyone	Tools	May 27, 2018	1.0.15	4.4 and up
HotSpot Tethering Free/WiFi AP	TOOLS	3.9	478	2.0M	100,000+	Free	0	Everyone	Tools	September 12, 2016	2.003	2.3 and up
AP Chemistry Prep: Practice Tests and Flashcards	FAMILY	4.7	55	5.4M	10,000+	Free	0	Everyone	Education	July 3, 2018	1.6.7.1	4.1 and up
AP Flashcards	FAMILY	3.7	88	41M	10,000+	Free	0	Everyone	Education	August 30, 2015	1.3.14	3.1 and up
AP World History: Practice Tests and Flashcards	FAMILY	4.8	21	5.4M	5,000+	Free	0	Everyone	Education	July 3, 2018	1.6.7.1	4.1 and up
Access Point Names	COMMUNICATION	4.0	138	2.4M	10,000+	Free	0	Everyone	Communication	August 12, 2014	1.0	2.3.3 and up
AP Biology Prep: Practice Tests, Flashcards	FAMILY	4.6	87	5.4M	10,000+	Free	0	Everyone	Education	July 3, 2018	1.6.7.1	4.1 and up
AP Biology Study Guide + Quiz	FAMILY	4.4	105	9.0M	10,000+	Free	0	Everyone	Education	March 22, 2016	1.5.1	4.1 and up
Reuters News	NEWS_AND_MAGAZINES	4.3	13166	25M	1,000,000+	Free	0	Everyone 10+	News & Magazines	June 6, 2018	3.4.4	4.1 and up
500 AP World History Questions	FAMILY	4.7	7	1.2M	100+	Paid	$9.99	Everyone	Education	November 1, 2013	1.2	1.6 and up
AP Themes for Kustom/KLWP	PERSONALIZATION	3.6	5	45M	500+	Paid	$1.49	Everyone	Personalization	September 1, 2017	1.8.2	4.4 and up
AP Physics 1 Prep: Practice Tests and Flashcards	FAMILY	4.4	29	5.3M	5,000+	Free	0	Everyone	Education	July 3, 2018	1.6.7.1	4.1 and up
Fate GO Ap Counter	TOOLS	4.6	70	3.2M	1,000+	Free	0	Everyone	Tools	January 19, 2018	1.1.4	4.1 and up
iScore5 AP Psych	FAMILY	2.9	10	73M	100+	Paid	$4.99	Everyone	Educational	April 25, 2017	2.0	4.0.3 and up
Glanceable Ap Watch Face	PERSONALIZATION		0	11M	5+	Paid	$0.99	Everyone	Personalization	August 14, 2016	1.0.103	4.4 and up
AP Psychology Prep: Practice Tests and Flashcards	FAMILY	4.5	242	5.4M	50,000+	Free	0	Everyone	Education	July 3, 2018	1.6.7.1	4.1 and up
meStudying: AP English Lit	FAMILY	5.0	1	655k	10+	Paid	$4.99	Everyone	Education	August 31, 2013	1.3	2.0.1 and up
APN Settings	TOOLS	3.7	3743	5.6M	1,000,000+	Free	0	Everyone	Tools	August 3, 2018	6.4	4.1 and up
AEE AP	PHOTOGRAPHY		4	17M	1,000+	Free	0	Everyone	Photography	February 7, 2018	1.01	2.2 and up
AP Math & Computer Science	FAMILY	3.7	37	9.5M	5,000+	Free	0	Everyone	Education	July 19, 2015	2.16	2.3 and up
AP Series Solution Pro	FAMILY		0	7.4M	0+	Paid	$1.99	Everyone	Education	July 30, 2017	1.3	4.0 and up
AP Statistics Prep: Practice Tests and Flashcards	FAMILY	4.2	19	5.4M	5,000+	Free	0	Everyone	Education	July 3, 2018	1.6.7.1	4.1 and up
eChallan Andhra Pradesh (AP)	SOCIAL	3.0	5	2.6M	1,000+	Free	0	Teen	Social	February 15, 2018	1.0.0.4	4.1 and up
AP Art History Flashcards	FAMILY	5.0	1	96M	10+	Paid	$29.99	Mature 17+	Education	January 19, 2016	3.30	4.0 and up
True Skate	SPORTS	4.4	129409	73M	1,000,000+	Paid	$1.99	Everyone	Sports	August 4, 2018	1.5.1	4.0.3 and up
AP European History: Practice Tests and Flashcards	FAMILY	4.7	7	5.4M	1,000+	Free	0	Everyone	Education	July 3, 2018	1.6.7.1	4.1 and up
AdventureQuest 3D MMO	FAMILY	4.3	22667	35M	1,000,000+	Free	0	Teen	Role Playing	July 26, 2018	1.10.1	4.4 and up
AdventureQuest Dragons	FAMILY	3.9	10114	48M	100,000+	Free	0	Everyone	Casual	June 13, 2018	1.0.63	4.0 and up
AQ: First Contact	FAMILY		0	Varies with device	50,000+	Free	0	Everyone	Strategy	July 26, 2018	Varies with device	Varies with device
Battle Gems (AdventureQuest)	FAMILY	4.4	48427	Varies with device	500,000+	Free	0	Everyone 10+	Puzzle	March 31, 2018	Varies with device	Varies with device
Undead Assault	GAME	4.3	4704	37M	100,000+	Free	0	Everyone 10+	Arcade	November 4, 2015	1.4.6	2.3 and up
AQ Service	BUSINESS		4	17M	10+	Free	0	Everyone	Business	August 28, 2017	1.0	4.4 and up
AQ wisdom +	TOOLS		0	35M	100+	Free	0	Everyone	Tools	March 15, 2018	1.0.0	4.0.3 and up
AQ SMS Notify	TOOLS		0	2.3M	10+	Free	0	Everyone	Tools	April 12, 2018	2.5.3	4.1 and up
AQ Math Facts	FAMILY		1	16M	1+	Paid	$2.99	Everyone	Educational	May 17, 2017	1.0.3	4.0 and up
Adventure Quest World Mobile Quiz	FAMILY	4.6	28	26M	500+	Free	0	Everyone	Puzzle	January 16, 2018	3.1.6z	4.0.3 and up
Aqw&3d Design Notes Manager	FAMILY	4.5	11	2.9M	500+	Free	0	Everyone	Entertainment	August 15, 2017	3.0	4.0.3 and up
AQ Aspergers Test	MEDICAL	3.9	265	714k	10,000+	Free	0	Everyone	Medical	October 14, 2015	1.4.0	2.3.3 and up
Guess the Class   AQW	GAME	4.7	57	12M	1,000+	Free	0	Everyone	Word	November 1, 2017	1.0.0	4.1 and up
Puffin Web Browser	COMMUNICATION	4.3	541661	Varies with device	10,000,000+	Free	0	Everyone	Communication	July 9, 2018	7.5.3.20547	4.1 and up
AQ Ria Retail	FAMILY	5.0	4	52M	50+	Free	0	Everyone	Education	April 3, 2018	1.1	4.1 and up
Accounting Quiz (AQ) Malaysia	FAMILY	5.0	25	Varies with device	1,000+	Free	0	Everyone	Education	January 29, 2018	Varies with device	4.0 and up
AQ Guards	PRODUCTIVITY		0	3.2M	10+	Free	0	Everyone	Productivity	July 6, 2018	2.1.22	4.4 and up
Wowkwis aq Ka'qaquj	FAMILY	5.0	1	49M	10+	Free	0	Everyone	Education;Education	February 16, 2018	1.0	4.0.3 and up
AQ Coach	SPORTS		0	28M	5+	Free	0	Everyone	Sports	May 25, 2018	1.1.0	4.4 and up
AQ Dentals	HEALTH_AND_FITNESS		0	12M	10+	Free	0	Everyone	Health & Fitness	December 22, 2017	1.0.1	4.1 and up
AccuWeather: Daily Forecast & Live Weather Reports	WEATHER	4.4	2052407	Varies with device	50,000,000+	Free	0	Everyone	Weather	August 2, 2018	Varies with device	Varies with device
    AQ     	FAMILY		21	17M	5,000+	Free	0	Everyone	Education	June 22, 2016	2.4.0	4.0 and up
ClanHQ	COMMUNICATION	2.7	560	37M	10,000+	Free	0	Everyone	Communication	July 25, 2018	1.0.21	4.4 and up
QuickShortcutMaker	PERSONALIZATION	4.6	41000	2.0M	1,000,000+	Free	0	Everyone	Personalization	February 23, 2014	2.4.0	1.6 and up
Moovit: Bus Time & Train Time Live Info	MAPS_AND_NAVIGATION	4.4	616742	Varies with device	10,000,000+	Free	0	Everyone	Maps & Navigation	August 5, 2018	Varies with device	Varies with device
Iron Blade	GAME	4.4	161637	82M	10,000,000+	Free	0	Mature 17+	Action	July 18, 2018	1.7.0m	4.0.3 and up
QR Droid	PRODUCTIVITY	4.1	349151	Varies with device	50,000,000+	Free	0	Everyone	Productivity	August 1, 2018	Varies with device	Varies with device
QR BARCODE SCANNER	TOOLS	3.8	169369	Varies with device	10,000,000+	Free	0	Everyone	Tools	September 5, 2016	Varies with device	Varies with device
Dungeon Boss   Strategy RPG	FAMILY	4.4	218881	37M	5,000,000+	Free	0	Everyone 10+	Role Playing	March 28, 2018	0.5.10011	4.0.3 and up
Questland: Turn Based RPG	FAMILY	4.6	31134	48M	1,000,000+	Free	0	Everyone 10+	Role Playing	August 2, 2018	1.10.6	4.1 and up
Order & Chaos 2: 3D MMO RPG	FAMILY	4.1	242722	54M	10,000,000+	Free	0	Teen	Role Playing	July 9, 2018	3.1.2b	4.0.3 and up
Dungeon Quest	FAMILY	4.5	244039	46M	5,000,000+	Free	0	Everyone 10+	Role Playing	June 4, 2018	3.0.5.2	4.0 and up
Dungeon Hunter 5   Action RPG	FAMILY	4.2	720685	51M	10,000,000+	Free	0	Teen	Role Playing	June 21, 2018	3.6.1a	4.0.3 and up
Grow Stone Online : 2d pixel RPG, MMORPG game	FAMILY	4.7	84389	48M	1,000,000+	Free	0	Everyone	Role Playing	August 5, 2018	1.375	4.0.3 and up
Evil Apples: A Dirty Card Game	GAME	4.3	137696	55M	5,000,000+	Free	0	Mature 17+	Word	July 19, 2018	2.3.3	4.2 and up
Megatramp - a Story of Success!	FAMILY	4.3	322976	Varies with device	5,000,000+	Free	0	Teen	Simulation	June 13, 2018	Varies with device	4.2 and up
Knightfall  AR	FAMILY	4.2	254	25M	10,000+	Free	0	Teen	Strategy	March 17, 2018	1.0	7.0 and up
Ghost Snap AR Horror Survival	GAME	3.8	898	33M	100,000+	Free	0	Teen	Adventure	December 21, 2016	1.2.3.1	2.3 and up
The Walking Dead: Our World	GAME	4.0	22435	100M	1,000,000+	Free	0	Teen	Action	August 1, 2018	1.1.0.3	5.0 and up
Jurassic World  Alive	FAMILY	4.3	308944	70M	5,000,000+	Free	0	Everyone 10+	Simulation	August 2, 2018	1.3.15	4.4 and up
Snaappy   3D fun AR core communication platform	SOCIAL	4.6	16801	Varies with device	1,000,000+	Free	0	Everyone	Social	July 16, 2018	1.5.341	4.0.3 and up
Sketchfab	FAMILY	4.3	906	9.2M	50,000+	Free	0	Mature 17+	Entertainment	March 9, 2018	0.46.0	4.4 and up
Ingress	GAME	4.3	391325	43M	10,000,000+	Free	0	Everyone	Adventure	June 20, 2018	1.131.2	4.0 and up
My Tamagotchi Forever	FAMILY	4.3	28735	91M	1,000,000+	Free	0	Everyone	Casual	August 1, 2018	1.12.0.1654	4.2 and up
Egg, Inc.	FAMILY	4.7	580160	29M	5,000,000+	Free	0	Everyone	Simulation	June 13, 2018	1.7.5	4.0.3 and up
Houzz Interior Design Ideas	HOUSE_AND_HOME	4.6	353813	Varies with device	10,000,000+	Free	0	Everyone	House & Home	August 1, 2018	Varies with device	Varies with device
Flat Pack	GAME	4.4	862	44M	100,000+	Free	0	Everyone 10+	Action	March 16, 2018	1.0.4	7.0 and up
Crayola Color Blaster	GAME	3.8	17	30M	1,000+	Free	0	Everyone	Arcade	March 13, 2018	1.5	7.0 and up
Guns of Boom - Online Shooter	GAME	4.6	1226514	99M	10,000,000+	Free	0	Teen	Action	July 20, 2018	4.4.4	4.1 and up
Guns Royale - Multiplayer Blocky Battle Royale	GAME	4.6	19070	90M	100,000+	Free	0	Everyone 10+	Action	August 4, 2018	1.0	Varies with device
Build.com - Shop Home Improvement & Expert Advice	HOUSE_AND_HOME	4.5	118	72M	50,000+	Free	0	Everyone	House & Home	July 10, 2018	3.7.1	5.0 and up
Wayfair - Shop All Things Home	SHOPPING	4.5	20247	47M	5,000,000+	Free	0	Everyone	Shopping	August 3, 2018	4.70.30	4.1 and up
NYTimes - Latest News	NEWS_AND_MAGAZINES	3.9	63640	23M	10,000,000+	Free	0	Everyone 10+	News & Magazines	August 1, 2018	6.19.5	4.4 and up
Overstock   Home Decor, Furniture Shopping	SHOPPING	4.4	25717	Varies with device	1,000,000+	Free	0	Teen	Shopping	July 31, 2018	Varies with device	Varies with device
Stack It AR	GAME	3.8	1363	26M	100,000+	Free	0	Everyone	Arcade	June 29, 2018	1.1.4	4.0 and up
ARuler - AR Ruler app, Measure tools	TOOLS	4.3	1602	5.0M	100,000+	Free	0	Everyone	Tools	August 3, 2018	1.1.7	7.0 and up
SNOW - AR Camera	PHOTOGRAPHY	4.3	1017237	Varies with device	50,000,000+	Free	0	Everyone	Photography	July 30, 2018	7.6.5	4.3 and up
Monster Park AR - Jurassic Dinosaurs in Real World	FAMILY	3.7	128	20M	10,000+	Free	0	Everyone	Entertainment	March 8, 2018	1.2.2.122	7.0 and up
AR Remote Car	FAMILY	3.2	1354	30M	100,000+	Free	0	Everyone	Simulation	August 12, 2017	2.14	4.0 and up
Solar System AR ( ARCore )	FAMILY	4.0	211	37M	10,000+	Free	0	Everyone	Entertainment	July 23, 2018	0.8.6	7.0 and up
Super AR	FAMILY	3.8	410	28M	10,000+	Free	0	Teen	Entertainment	December 18, 2017	2.1	4.0 and up
Spacecraft AR	FAMILY	4.4	83	85M	10,000+	Free	0	Everyone	Education	June 28, 2018	1.2	7.0 and up
Assemblr - Create 3D Models (Sandbox AR)	FAMILY	3.8	1745	Varies with device	1,000,000+	Free	0	Everyone	Simulation	July 17, 2018	2.25	5.0 and up
MCRAFT AR - EDITOR	FAMILY	3.4	131	22M	5,000+	Free	0	Everyone	Simulation	June 24, 2018	1.0	4.1 and up
Jenga  AR	FAMILY	2.9	53	82M	10,000+	Free	0	Everyone	Puzzle	March 17, 2018	1.0.1	7.0 and up
Nightenfell: Shared AR	GAME	4.5	20	65M	1,000+	Paid	$0.99	Everyone 10+	Action	March 27, 2018	1.0.0	7.0 and up
Portal AR - Step Into Scotland	TRAVEL_AND_LOCAL	3.7	25	43M	5,000+	Free	0	Everyone	Travel & Local	June 4, 2018	1.4	7.0 and up
Arcraft - AR Sandbox	GAME	3.8	469	80M	10,000+	Free	0	Everyone	Adventure	May 19, 2017	1.4	4.0 and up
Augment - 3D Augmented Reality	BUSINESS	4.1	25195	21M	1,000,000+	Free	0	Everyone	Business	February 26, 2018	v3.4.0-3	4.0.3 and up
Satellite AR	BOOKS_AND_REFERENCE	4.1	9636	93k	1,000,000+	Free	0	Everyone	Books & Reference	September 22, 2011	2.4	2.1 and up
Figment AR	FAMILY	3.7	22	90M	5,000+	Free	0	Everyone	Entertainment	July 10, 2018	1.0	7.0 and up
AR Tank Battle	GAME	3.6	153	67M	10,000+	Free	0	Everyone	Action	December 31, 2016	1.3	4.0 and up
AR Dragon Pet	FAMILY		0	Varies with device	50,000+	Free	0	Everyone	Casual	November 9, 2017	Varies with device	Varies with device
Paint Space AR	FAMILY	3.0	17	32M	1,000+	Free	0	Everyone	Entertainment	March 7, 2018	1.1	7.0 and up
Just a Line - Draw Anywhere, with AR	FAMILY	4.1	1152	2.7M	100,000+	Free	0	Everyone	Entertainment	May 30, 2018	2.0.0	7.0 and up
AR Toybox - Augmented Reality Demos	FAMILY	3.8	20	36M	1,000+	Free	0	Everyone	Simulation	August 17, 2017	1.0.2	4.1 and up
Mind Map AR, Augmented Reality ARCore Mind Mapping	PRODUCTIVITY	4.2	29	35M	5,000+	Free	0	Everyone	Productivity	July 26, 2018	1.23	7.0 and up
 Miku AR Camera Mikuture	FAMILY	4.4	36268	41M	1,000,000+	Free	0	Teen	Entertainment	April 25, 2017	3.0.15	4.2 and up
AR Toys: Playground Sandbox | Remote Car	FAMILY	4.5	153	Varies with device	10,000+	Free	0	Everyone	Simulation	August 3, 2018	0.8	7.0 and up
Summer Camp Island AR	FAMILY	3.6	740	71M	50,000+	Free	0	Everyone	Simulation	July 5, 2018	1.0.2	4.4 and up
AR Sport Cars	FAMILY	3.6	284	70M	10,000+	Free	0	Everyone	Simulation	June 10, 2017	1.0	4.1 and up
AS - News and sports results.	SPORTS	3.7	20879	22M	1,000,000+	Free	0	Everyone	Sports	June 9, 2018	5.1.13	4.1 and up
MARCA - Diario L der Deportivo	SPORTS	3.9	76340	14M	5,000,000+	Free	0	Everyone	Sports	July 25, 2018	6.3.3	4.1 and up
AS - Diario online deportivo. F tbol, motor y m s	NEWS_AND_MAGAZINES		0	6.0M	50+	Free	0	Everyone	News & Magazines	June 24, 2018	7.8	4.1 and up
SleepCloud Backup for Sleep as Android	LIFESTYLE	4.2	2563	Varies with device	100,000+	Free	0	Everyone	Lifestyle	June 26, 2018	Varies with device	Varies with device
AS Gu a de las Ligas 2017-2018	SPORTS	4.1	4374	53M	100,000+	Free	0	Everyone	Sports	September 14, 2017	1.0.10	4.1 and up
Sleep as Android Unlock	LIFESTYLE	4.5	23966	872k	1,000,000+	Paid	$5.99	Everyone	Lifestyle	June 27, 2018	20180608	4.0 and up
Sleep as Android Gear Addon	HEALTH_AND_FITNESS	2.8	961	1.3M	100,000+	Free	0	Everyone	Health & Fitness	February 27, 2018	1.5	4.0 and up
Sleep as Android Garmin Addon	HEALTH_AND_FITNESS	2.6	114	1.6M	10,000+	Free	0	Everyone	Health & Fitness	June 20, 2018	20180620	2.3 and up
Sleep as Android: Sleep cycle tracker, smart alarm	LIFESTYLE	4.3	246201	Varies with device	10,000,000+	Free	0	Everyone	Lifestyle	July 23, 2018	Varies with device	Varies with device
Sonic the Hedgehog  Classic	GAME	4.4	125652	56M	10,000,000+	Free	0	Everyone	Action	June 18, 2018	3.3.0	4.2 and up
The Aether: Life as a God	FAMILY	4.1	1407	3.4M	100,000+	Free	0	Everyone 10+	Role Playing	March 12, 2018	1.0.5	4.0 and up
CAPTCHA Pack for Sleep as Android	LIFESTYLE	4.0	448	3.1M	50,000+	Free	0	Everyone	Lifestyle	June 8, 2018	1.3	2.3 and up
Pacific Navy Fighter C.E. (AS)	GAME	4.3	11379	20M	500,000+	Free	0	Everyone 10+	Arcade	July 29, 2018	1.4	4.0.3 and up
Lullaby Add-on for Sleep as Android	HEALTH_AND_FITNESS	3.9	2057	6.2M	50,000+	Paid	$1.99	Everyone	Health & Fitness	October 18, 2017	2.4	4.0 and up
Sleep as Microsoft Band Add-On	LIFESTYLE	3.5	28	121k	1,000+	Free	0	Everyone	Lifestyle	January 23, 2016	1.0.0.8	4.2 and up
Ear Agent: Super Hearing	COMMUNICATION	3.7	42329	Varies with device	5,000,000+	Free	0	Everyone	Communication	June 4, 2018	Varies with device	Varies with device
Ninja Turtles: Legends	FAMILY	4.3	344283	95M	10,000,000+	Free	0	Teen	Role Playing	December 18, 2017	1.11.39	4.1 and up
Timely Alarm Clock	LIFESTYLE	4.3	258717	9.4M	10,000,000+	Free	0	Everyone	Lifestyle	September 25, 2017	1.3.1	4.0.3 and up
PDF Viewer & Book Reader	PRODUCTIVITY	4.1	40437	Varies with device	5,000,000+	Free	0	Everyone	Productivity	February 6, 2018	Varies with device	Varies with device
My OldBoy! Free - GBC Emulator	GAME	4.2	51787	Varies with device	5,000,000+	Free	0	Everyone	Arcade	January 12, 2018	Varies with device	Varies with device
My Boy! Free - GBA Emulator	GAME	4.3	531074	2.5M	10,000,000+	Free	0	Everyone	Arcade	January 9, 2018	Varies with device	Varies with device
Google Voice	COMMUNICATION	4.2	171052	Varies with device	10,000,000+	Free	0	Everyone	Communication	August 3, 2018	Varies with device	Varies with device
Choices: Stories You Play	FAMILY	4.6	807155	93M	10,000,000+	Free	0	Teen	Simulation	July 30, 2018	2.3.5	4.0.3 and up
Samsung Health	HEALTH_AND_FITNESS	4.3	480208	70M	500,000,000+	Free	0	Everyone	Health & Fitness	July 31, 2018	5.17.2.009	5.0 and up
WiFi Baby Monitor - NannyCam	VIDEO_PLAYERS	4.1	29867	1.7M	5,000,000+	Free	0	Everyone	Video Players & Editors	May 24, 2017	3.1.0 (build 1210)	2.3.3 and up
Maleficent Free Fall	FAMILY	4.4	450013	37M	10,000,000+	Free	0	Everyone	Puzzle	July 11, 2018	5.9.0	4.2 and up
Star Wars : Force Arena	FAMILY	4.4	228130	70M	5,000,000+	Free	0	Everyone 10+	Strategy	July 19, 2018	3.1.4	4.1 and up
Runtastic Sleep Better: Sleep Cycle & Smart Alarm	HEALTH_AND_FITNESS	4.1	111465	Varies with device	5,000,000+	Free	0	Everyone	Health & Fitness	July 25, 2018	Varies with device	Varies with device
Google Pay	FINANCE	4.2	348132	Varies with device	100,000,000+	Free	0	Everyone	Finance	July 26, 2018	2.70.206190089	Varies with device
Alarm Clock Plus 	LIFESTYLE	4.4	155693	Varies with device	5,000,000+	Free	0	Everyone	Lifestyle	September 30, 2014	Varies with device	Varies with device
Image 2 Wallpaper	TOOLS	4.3	81668	Varies with device	5,000,000+	Free	0	Everyone	Tools	December 26, 2016	Varies with device	Varies with device
PS4 Second Screen	FAMILY	2.4	11773	3.3M	1,000,000+	Free	0	Everyone	Entertainment	June 13, 2018	18.6.2	4.1 and up
Alarm Clock: Stopwatch & Timer	PRODUCTIVITY	4.5	870928	16M	50,000,000+	Free	0	Everyone	Productivity	June 8, 2018	5.9.6	4.1 and up
Ringtone Maker	PERSONALIZATION	4.3	495748	Varies with device	50,000,000+	Free	0	Everyone	Personalization	July 29, 2018	Varies with device	Varies with device
SAMURAI vs ZOMBIES DEFENSE	GAME	4.5	407788	19M	5,000,000+	Free	0	Everyone	Action	July 18, 2013	3.4.0	2.1 and up
Seen	FAMILY	4.5	118285	22M	1,000,000+	Free	0	Teen	Simulation	May 24, 2018	1.2.1	4.1 and up
Google Allo	COMMUNICATION	4.3	347086	Varies with device	10,000,000+	Free	0	Everyone	Communication	January 23, 2018	Varies with device	4.1 and up
